Q2_log_center,W2_center,t_center,logA
0.0,20.0,-0.01,-5.105765718412086
0.0,20.0,-0.02,-3.815962740402421
0.0,20.0,-0.03,-3.0331632705560723
0.0,20.0,-0.04,-2.520637496763917
0.0,20.0,-0.05,-2.2025961918146884
0.0,20.0,-0.060000000000000005,-1.8994665717131543
0.0,20.0,-0.06999999999999999,-1.641279377803031
0.0,20.0,-0.08,-1.4661453039176549
0.0,20.0,-0.09,-1.312072746178849
0.0,20.0,-0.09999999999999999,-1.210103290777967
0.0,20.0,-0.11,-1.081526262212763
0.0,20.0,-0.12,-1.011029897949715
0.0,20.0,-0.13,-0.9716312731294618
0.0,20.0,-0.14,-0.9137766697219364
0.0,20.0,-0.15000000000000002,-0.9059065300250037
0.0,20.0,-0.16,-0.9258518557669433
0.0,20.0,-0.17,-0.9083564390904665
0.0,20.0,-0.18000000000000002,-0.9550368667436865
0.0,20.0,-0.19,-0.9510770954987681
0.0,20.0,-0.2,-1.0148566784998068
0.0,20.0,-0.21000000000000002,-1.0751159375180588
0.0,20.0,-0.22,-1.155022983059665
0.0,20.0,-0.23,-1.1995983941653552
0.0,20.0,-0.24000000000000002,-1.3228469510396135
0.0,20.0,-0.25,-1.4376862169245055
0.0,20.0,-0.26,-1.5599996972044998
0.0,20.0,-0.29083333333333333,-2.0289558227920113
0.0,20.0,-0.32166666666666666,-2.730871850430357
0.0,20.0,-0.35250000000000004,-3.807211310695405
0.0,20.0,-0.38333333333333336,-6.013934140523214
0.0,20.0,-0.4141666666666667,-6.459384061708227
0.0,20.0,-0.445,-4.402172762111621
0.0,20.0,-0.47583333333333333,-3.5973584582828595
0.0,20.0,-0.5066666666666667,-3.199627580640382
0.0,20.0,-0.5375000000000001,-2.987102432378517
0.0,20.0,-0.5683333333333334,-2.946505571239912
0.0,20.0,-0.5991666666666666,-3.0673495255283316
0.0,20.0,-0.63,-3.296304124922882
0.0,20.0,-0.6608333333333334,-3.6359035176129053
0.0,20.0,-0.6916666666666667,-4.097726211875451
0.0,20.0,-0.7225,-4.801695244310702
0.0,20.0,-0.7533333333333334,-5.8980817353933475
0.0,20.0,-0.7841666666666667,-8.196997218148754
0.0,20.0,-0.8150000000000001,-8.44435705573007
0.0,20.0,-0.8458333333333333,-6.416344994463088
0.0,20.0,-0.8766666666666667,-5.62329942884439
0.0,20.0,-0.9075,-5.213950625182537
0.0,20.0,-0.9383333333333334,-5.04774317806588
0.0,20.0,-0.9691666666666667,-5.011962180821726
0.0,20.0,-1.0,-5.123410127779895
0.0,20.0,-1.02,-5.246525553087377
0.0,20.0,-1.1288888888888888,-7.044253365766178
0.0,20.0,-1.2377777777777779,-8.834146194488797
0.0,20.0,-1.3466666666666667,-7.093371135351872
0.0,20.0,-1.4555555555555555,-7.671831227625409
0.0,20.0,-1.5644444444444443,-10.614133168745978
0.0,20.0,-1.6733333333333333,-9.80530202422505
0.0,20.0,-1.7822222222222222,-9.13397023666427
0.0,20.0,-1.891111111111111,-10.283937093734718
0.0,20.0,-2.0,-19.45446594516635
0.0,40.0,-0.01,-5.133322996936983
0.0,40.0,-0.02,-3.7910525947359393
0.0,40.0,-0.03,-3.0354953633898343
0.0,40.0,-0.04,-2.519688769045408
0.0,40.0,-0.05,-2.1427016753877273
0.0,40.0,-0.060000000000000005,-1.8522930501750017
0.0,40.0,-0.06999999999999999,-1.6469339949755577
0.0,40.0,-0.08,-1.4665770899494066
0.0,40.0,-0.09,-1.2934731017900725
0.0,40.0,-0.09999999999999999,-1.1971506894716997
0.0,40.0,-0.11,-1.1262964332854695
0.0,40.0,-0.12,-1.0523062604081748
0.0,40.0,-0.13,-0.9957820066316501
0.0,40.0,-0.14,-0.9322056471722729
0.0,40.0,-0.15000000000000002,-0.9196218647018044
0.0,40.0,-0.16,-0.9034562563422144
0.0,40.0,-0.17,-0.934262758974258
0.0,40.0,-0.18000000000000002,-0.9440609665421034
0.0,40.0,-0.19,-0.9688931336432177
0.0,40.0,-0.2,-1.0341902254332576
0.0,40.0,-0.21000000000000002,-1.0778146142158957
0.0,40.0,-0.22,-1.1715606340739295
0.0,40.0,-0.23,-1.2496143153122676
0.0,40.0,-0.24000000000000002,-1.347081431081454
0.0,40.0,-0.25,-1.4741130595573944
0.0,40.0,-0.26,-1.5656804771045139
0.0,40.0,-0.29083333333333333,-2.075727361446076
0.0,40.0,-0.32166666666666666,-2.7689425650954806
0.0,40.0,-0.35250000000000004,-3.841137153115055
0.0,40.0,-0.38333333333333336,-6.053180468042075
0.0,40.0,-0.4141666666666667,-6.532744250138936
0.0,40.0,-0.445,-4.444123517680325
0.0,40.0,-0.47583333333333333,-3.647963323761973
0.0,40.0,-0.5066666666666667,-3.241604651726666
0.0,40.0,-0.5375000000000001,-3.0941012785557547
0.0,40.0,-0.5683333333333334,-3.063234243202812
0.0,40.0,-0.5991666666666666,-3.161005952895795
0.0,40.0,-0.63,-3.3732017238225867
0.0,40.0,-0.6608333333333334,-3.689448608264991
0.0,40.0,-0.6916666666666667,-4.211152255852978
0.0,40.0,-0.7225,-4.910702593542844
0.0,40.0,-0.7533333333333334,-5.973813677144468
0.0,40.0,-0.7841666666666667,-8.2859401333784
0.0,40.0,-0.8150000000000001,-8.533652208389706
0.0,40.0,-0.8458333333333333,-6.541027709427198
0.0,40.0,-0.8766666666666667,-5.739733004730874
0.0,40.0,-0.9075,-5.362605102247715
0.0,40.0,-0.9383333333333334,-5.175495618580841
0.0,40.0,-0.9691666666666667,-5.129508564968925
0.0,40.0,-1.0,-5.284356800881882
0.0,40.0,-1.02,-5.371440740160862
0.0,40.0,-1.1288888888888888,-7.195040895472432
0.0,40.0,-1.2377777777777779,-8.974897759707275
0.0,40.0,-1.3466666666666667,-7.289005755879681
0.0,40.0,-1.4555555555555555,-7.849183277417988
0.0,40.0,-1.5644444444444443,-10.81524276426063
0.0,40.0,-1.6733333333333333,-10.01353815853719
0.0,40.0,-1.7822222222222222,-9.396919728807783
0.0,40.0,-1.891111111111111,-10.483167807689258
0.0,40.0,-2.0,-19.74229674416799
0.0,80.0,-0.01,-5.108123061195183
0.0,80.0,-0.02,-3.7701431856362966
0.0,80.0,-0.03,-3.025110589572818
0.0,80.0,-0.04,-2.496375857089224
